hs17	7173431	7179564	hs19	43460787	43465608	color=positive
hs3	52495338	52524495	hs19	50723364	50725708	color=positive
hs17	7173431	7179564	hs2	211375717	212538841	color=positive
hs17	7173431	7179564	hs19	18391137	18397622	color=positive
hs4	3503612	3532446	hs12	57128483	57213361	color=positive
hs17	7173431	7179564	hs2	102311502	102352037	color=positive
hs17	7173431	7179564	hs1	160796074	160828261	color=positive
hs3	52495338	52524495	hs11	112226367	112269955	color=positive
hs4	153780591	153789083	hs5	136132845	136188747	color=negative
hs19	48748011	48755390	hs18	7566782	8406861	color=positive
hs4	186208979	186258471	hs11	73675638	73761137	color=negative
hs19	12884422	12887201	hs6	131470832	131584332	color=negative
hs17	7173431	7179564	hs7	131500262	131558217	color=positive
hs17	7173431	7179564	hs19	41219223	41261766	color=positive
hs17	7173431	7179564	hs19	51142299	51153526	color=positive
hs17	7173431	7179564	hs13	113820549	113864076	color=positive
hs16	67939750	67944131	hs17	43014607	43025123	color=negative
hs6	26198784	26199293	hs4	3503612	3532446	color=positive
hs16	67939750	67944131	hs20	45898621	45912155	color=negative
hs17	69078702	69141895	hs11	68683779	68691175	color=positive
hs12	89519412	89524796	hs17	74541073	74546115	color=positive
hs12	89519408	89526262	hs17	74541073	74546115	color=positive
hs12	103587273	103766719	hs2	205681990	205798133	color=positive
hs17	7173431	7179564	hs1	161505430	161524013	color=positive
hs6	160702238	160754097	hs4	155921580	155953912	color=positive
hs17	7173431	7179564	hs16	89613308	89638456	color=positive
hs2	21001429	21044073	hs19	11089462	11133820	color=negative
hs17	7173431	7179564	hs3	112921205	112975103	color=positive
hs17	7173431	7179564	hs3	112596797	112649530	color=positive
hs8	38996754	39105445	hs2	36355778	36551135	color=negative
hs15	50702266	50765948	hs12	9594551	9607916	color=negative
hs17	7173431	7179564	hs1	160608106	160647044	color=positive
hs11	117204337	117232525	hs15	44288719	44415758	color=negative
hs3	46353864	46360940	hs17	34255274	34257208	color=positive
hs14	56488354	56650606	hs7	116672196	116798377	color=negative
hs17	7173431	7179564	hs1	207321519	207386804	color=positive
hs17	7173431	7179564	hs8	6499632	6563409	color=positive
hs17	7173431	7179564	hs19	54572920	54590287	color=positive
hs17	62627670	62693597	hs17	50184101	50201632	color=positive
hs17	7173431	7179564	hs21	44215382	44241446	color=positive
hs17	7173431	7179564	hs12	47075707	47079959	color=positive
hs17	7173431	7179564	hs15	68296532	68432163	color=positive
hs3	52495338	52524495	hs13	110148963	110307157	color=positive
hs19	17824780	17848071	hs4	141636583	141733987	color=positive
hs11	117204337	117232525	hs3	196012511	196082153	color=negative
hs17	7173431	7179564	hs6	32041153	32115334	color=positive
hs3	52812962	52830688	hs7	49773638	49921950	color=negative
hs3	81489703	81761645	hs17	44903159	44916937	color=positive
hs17	7173431	7179564	hs11	119308529	119321521	color=positive
hs15	50702266	50765948	hs2	162170684	162245151	color=negative
hs2	21001429	21044073	hs4	15935577	15938740	color=negative
hs12	7470811	7503893	hs4	173168811	173323967	color=positive
hs3	52495338	52524495	hs9	133414358	133459402	color=positive
hs1	169511951	169586588	hs2	187464230	187565760	color=negative
hs17	7173431	7179564	hs19	51225064	51243860	color=positive
hs17	35756249	35795707	hs6	112107931	112254939	color=positive
hs12	103587273	103766719	hs19	19211958	19252233	color=positive
hs19	48748011	48755390	hs17	64002594	64020634	color=positive
hs21	26917922	26967088	hs1	91680343	91906335	color=negative
hs1	27369110	27374824	hs3	187217282	187291980	color=negative
hs1	223701593	223776018	hs17	44903159	44916937	color=negative
hs12	7346685	7479897	hs1	1751232	1780457	color=positive
hs2	32224453	32265732	hs22	35380361	35394214	color=negative
hs19	55488404	55519099	hs9	127087348	127122635	color=negative
hs13	28003274	28100592	hs19	49474207	49486231	color=positive
